file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 5 GPT.txt,DPDP unconstrained iteration 5 GPT.txt,ChatGPT,Data Protection,Unconstrained,5.0,Primary,False,1216,8.27,none,ai_draft,0.5852497048857741,0.23183019836782293,0.6366224884986877
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 6 GPT.txt,DPDP unconstrained iteration 6 GPT.txt,ChatGPT,Data Protection,Unconstrained,6.0,Primary,False,1170,7.93,none,ai_draft,0.5664634905729548,0.21601209098081986,0.6370854377746582
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 7 GPT.txt,DPDP unconstrained iteration 7 GPT.txt,ChatGPT,Data Protection,Unconstrained,7.0,Primary,False,1247,8.43,none,ai_draft,0.5819976938017981,0.2399217326644263,0.6233692765235901
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 8 GPT.txt,DPDP unconstrained iteration 8 GPT.txt,ChatGPT,Data Protection,Unconstrained,8.0,Primary,False,1284,8.84,none,ai_draft,0.5754336601877622,0.2470813556199467,0.6489084959030151
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 9 GPT.txt,DPDP unconstrained iteration 9 GPT.txt,ChatGPT,Data Protection,Unconstrained,9.0,Primary,False,1292,8.73,none,ai_draft,0.5736907078805756,0.23309292774109835,0.6385544538497925
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 1 GPT.txt,National innovation iteration 1 GPT.txt,ChatGPT,National Security,Innovation,1.0,Primary,False,973,7.09,none,ai_draft,0.6785843530119273,0.6968564477282362,0.5757949948310852
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 10 GPT.txt,National innovation iteration 10 GPT.txt,ChatGPT,National Security,Innovation,10.0,Primary,False,1176,9.0,none,ai_draft,0.7059624628795252,0.7860828357289015,0.5867377519607544
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 2 GPT.txt,National innovation iteration 2 GPT.txt,ChatGPT,National Security,Innovation,2.0,Primary,False,1047,7.45,none,ai_draft,0.6719257204491016,0.691345321388035,0.5768445730209351
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 3 GPT.txt,National innovation iteration 3 GPT.txt,ChatGPT,National Security,Innovation,3.0,Primary,False,983,7.1,none,ai_draft,0.6936655505255319,0.7583702487877035,0.5985543727874756
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 4 GPT.txt,National innovation iteration 4 GPT.txt,ChatGPT,National Security,Innovation,4.0,Primary,False,1071,7.63,none,ai_draft,0.6929272026596061,0.7660405851044437,0.5969434976577759
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 5 GPT.txt,National innovation iteration 5 GPT.txt,ChatGPT,National Security,Innovation,5.0,Primary,False,1252,8.99,none,ai_draft,0.6869725599498803,0.7350262205878924,0.5749028325080872
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 6 GPT.txt,National innovation iteration 6 GPT.txt,ChatGPT,National Security,Innovation,6.0,Primary,False,1176,8.35,none,ai_draft,0.6805330395099811,0.7065871992733859,0.5831056833267212
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 7 GPT.txt,National innovation iteration 7 GPT.txt,ChatGPT,National Security,Innovation,7.0,Primary,False,1057,7.7,none,ai_draft,0.6926545134973671,0.7718781553802099,0.5745841264724731
