file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 10 GPT.txt,DPDP innovation iteration 10 GPT.txt,ChatGPT,Data Protection,Innovation,10.0,Primary,False,1109,7.62,none,ai_draft,0.6115542977347304,0.3091370780556356,0.6372519731521606,0.7469781312127237,0.18034265103697023,16.13235294117647,93.58542387543251,-95.91778534779172
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 2 GPT.txt,DPDP innovation iteration 2 GPT.txt,ChatGPT,Data Protection,Innovation,2.0,Primary,False,1074,7.68,none,ai_draft,0.6072453346625267,0.2906688198270958,0.6366039514541626,0.7897101449275362,0.37243947858473,20.307692307692307,252.05917159763314,-89.00512920805974
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 3 GPT.txt,DPDP innovation iteration 3 GPT.txt,ChatGPT,Data Protection,Innovation,3.0,Primary,False,952,6.82,none,ai_draft,0.6304212749773198,0.3272707195578079,0.6350545883178711,0.8369585253456221,0.21008403361344538,20.52173913043478,176.94517958412098,-92.2816163583617
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 4 GPT.txt,DPDP innovation iteration 4 GPT.txt,ChatGPT,Data Protection,Innovation,4.0,Primary,False,1040,7.71,none,ai_draft,0.6258432318159338,0.3116015711909141,0.6391685009002686,0.7991858037578289,0.2884615384615385,25.725,568.749375,-75.19104005822857
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 6 GPT.txt,DPDP innovation iteration 6 GPT.txt,ChatGPT,Data Protection,Innovation,6.0,Primary,False,1081,7.69,none,ai_draft,0.6136107314174545,0.2828433647411018,0.6344223022460938,0.8029162357807653,0.37002775208140615,20.725490196078432,514.4736639753941,-77.55855728076723
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 7 GPT.txt,DPDP innovation iteration 7 GPT.txt,ChatGPT,Data Protection,Innovation,7.0,Primary,False,1042,7.6,none,ai_draft,0.6464282051887259,0.3376008346288718,0.6294920444488525,0.803457051961824,0.28790786948176583,21.541666666666668,88.70659722222223,-96.13060072891163
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 8 GPT.txt,DPDP innovation iteration 8 GPT.txt,ChatGPT,Data Protection,Innovation,8.0,Primary,False,1103,7.59,none,ai_draft,0.6254558239266381,0.3412632431136626,0.6103017330169678,0.7975689479060266,0.271985494106981,17.64516129032258,61.5837669094693,-97.31370393801238
E:\Research paper\output\chatgpt_policy_drafts\DPDP innovation iteration 9 GPT.txt,DPDP innovation iteration 9 GPT.txt,ChatGPT,Data Protection,Innovation,9.0,Primary,False,1087,7.92,none,ai_draft,0.6280680913373178,0.3263608127763623,0.6396225094795227,0.8167283950617286,0.18399264029438822,19.545454545454547,98.68429752066116,-95.69537147346855
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 1 GPT.txt,DPDP status quo iteration 1 GPT.txt,ChatGPT,Data Protection,Status Quo,1.0,Primary,False,1296,8.49,none,ai_draft,0.4902808476034517,0.1348192776548085,0.684842050075531,0.7204595744680851,0.7716049382716049,27.73913043478261,772.4536862003781,-66.305417816382
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 10 GPT.txt,DPDP status quo iteration 10 GPT.txt,ChatGPT,Data Protection,Status Quo,10.0,Primary,False,1063,7.1,none,ai_draft,0.5792561900047066,0.2777047339802766,0.6554078459739685,0.7665911431513902,0.18814675446848542,30.02857142857143,569.5134693877552,-75.15771011029226
